2020-03-18 23:51:41,b'DEMOCRAP. Biden campaign absolute idiot @SymoneDSanders on @FoxNews showed why I cannot stand Democrats. This idiot\xe2\x80\xa6 https://t.co/jMKfxP7syl',,-0.30000000000000004,0.8500000000000001
2020-03-18 23:50:48,"b'Whoopi Goldberg Uses Coronavirus To Attack Trump: Mother Nature Did This To Us, Not China https://t.co/REUVBQ1Msf\xe2\x80\xa6 https://t.co/VhkyiA7T0g'",,0.0,0.0
2020-03-18 23:47:39,"b""PLEASE don't drink bleach!! #TCOT #FightCOVID19 with FACTS!! #KAG \nhttps://t.co/hgl3HsAvNP""",USA,0.0,0.0
2020-03-18 23:44:32,"b'""HELLO WORLD! Before Economy Totally Disintegrates \xe2\x80\x93 Will Anyone Else Notice WHO Director Made BASIC MATH ERROR in\xe2\x80\xa6 https://t.co/lXCg2pz4qf'",,0.0,0.4375
2020-03-18 23:44:14,"b'""FITTON: Leftists Using Pretext of Coronavirus Outbreak to Push Unsecure \xe2\x80\x9cVote by Mail\xe2\x80\x9d Free For All, No Voter ID F\xe2\x80\xa6 https://t.co/oQhD43DhUI'",,0.4,0.8
2020-03-18 23:43:44,b'Reason:  My 30-Minute Webinar on Using Zoom for Class Instruction https://t.co/QNgAUfi2n5 #Gop2012 #Tcot #Tlot\xe2\x80\xa6 https://t.co/BTASyA0Wvi',Maryland,0.0,0.0
2020-03-18 23:43:34,"b'@LouDobbs It is the precise, purposeful intent of #China to release the #WuhanVirus (from George Soros owned level\xe2\x80\xa6 https://t.co/5IPhaOk1ii'",USA,0.4,0.8
2020-03-18 23:42:39,"b'""Kudlow: Economic damage from coronavirus \'a matter of weeks or months, not years\', market still \'attractive\'""\xe2\x80\xa6 https://t.co/R2RpLj5mL9'",,0.5,0.6
2020-03-18 23:40:15,b'Gutfeld on plastic bags and the coronavirus #tcot \nhttps://t.co/rnTlGhOCGg',MI - CA,0.0,0.0
2020-03-18 23:40:15,"b'@LouDobbs The @whpresscorps is a DISGRACE as evidenced by their complete rude, disrespectful treatment of our\xe2\x80\xa6 https://t.co/WrkivpMMLD'",USA,-0.09999999999999999,0.5
2020-03-18 23:36:39,"b'Coronavirus death rate drops: Better math, better treatment or  more testing? #tcot https://t.co/mWTkvHl4C2'",MI - CA,0.5,0.5
